dataset,N_shot,ICL_strategy,reasoning,model,depression_accuracy,depression_f1_macro,depression_precision,depression_recall,anxiety_accuracy,anxiety_f1_macro,anxiety_precision,anxiety_recall,stress_accuracy,stress_f1_macro,stress_precision,stress_recall,prompt_avg,prompt_std,completion_avg,completion_std,avg_per_request,std_per_request,avg_seconds,std_seconds,per_sample_usd,per_sample_std,depression_accuracy_ci,depression_f1_macro_ci,depression_precision_ci,depression_recall_ci,anxiety_accuracy_ci,anxiety_f1_macro_ci,anxiety_precision_ci,anxiety_recall_ci,stress_accuracy_ci,stress_f1_macro_ci,stress_precision_ci,stress_recall_ci
mental-iot,0-shot,None,Direct,GPT-5,0.675,0.455,0.454,0.457,0.630,0.507,0.519,0.528,0.505,0.501,0.511,0.511,1455.9,8.8,1442.7,287.5,2898.6,289.7,39.1644,12.7576,0.016,0.003,"[0.610, 0.740]","[0.401, 0.516]","[0.398, 0.519]","[0.401, 0.518]","[0.565, 0.695]","[0.441, 0.573]","[0.466, 0.574]","[0.448, 0.609]","[0.430, 0.570]","[0.425, 0.565]","[0.433, 0.579]","[0.437, 0.575]"
mental-iot,0-shot,None,Direct,Claude Sonnet 4.5,0.310,0.309,0.539,0.534,0.380,0.375,0.542,0.557,0.495,0.450,0.517,0.511,1573.6,9.6,526.3,49.5,2100.0,50.5,13.9052,1.5167,0.013,0.001,"[0.250, 0.375]","[0.245, 0.374]","[0.466, 0.599]","[0.473, 0.584]","[0.315, 0.455]","[0.308, 0.445]","[0.485, 0.596]","[0.479, 0.624]","[0.425, 0.565]","[0.378, 0.517]","[0.425, 0.601]","[0.455, 0.563]"
mental-iot,0-shot,None,Direct,Gemini 2.5 Pro,0.276,0.274,0.503,0.503,0.322,0.322,0.555,0.555,0.457,0.322,0.316,0.478,1528.4,10.5,2768.0,335.4,4296.3,333.8,34.3372,5.0697,0.030,0.003,"[0.211, 0.337]","[0.210, 0.336]","[0.427, 0.576]","[0.442, 0.559]","[0.261, 0.387]","[0.261, 0.386]","[0.500, 0.605]","[0.500, 0.604]","[0.387, 0.528]","[0.282, 0.359]","[0.205, 0.493]","[0.453, 0.500]"
mental-iot,0-shot,None,Direct,Llama-3.1 8b,0.645,0.488,0.491,0.489,0.599,0.493,0.513,0.521,0.533,0.533,0.534,0.534,1456.9,8.8,468.1,118.7,1925.0,119.6,5.4648,1.2761,-,-,"[0.579, 0.706]","[0.424, 0.554]","[0.431, 0.552]","[0.420, 0.566]","[0.528, 0.665]","[0.420, 0.560]","[0.452, 0.566]","[0.425, 0.611]","[0.464, 0.600]","[0.463, 0.600]","[0.466, 0.602]","[0.466, 0.602]"
mental-iot,0-shot,None,Direct,Mistral 7B,0.764,0.480,0.483,0.491,0.803,0.472,0.487,0.496,0.500,0.438,0.470,0.481,1720.2,11.0,505.3,203.1,2225.5,204.8,5.1173,1.9257,-,-,"[0.699, 0.825]","[0.421, 0.554]","[0.396, 0.591]","[0.442, 0.551]","[0.742, 0.864]","[0.430, 0.545]","[0.391, 0.663]","[0.467, 0.543]","[0.427, 0.577]","[0.362, 0.517]","[0.369, 0.567]","[0.417, 0.543]"
mental-iot,0-shot,None,Direct,gpt-oss-20b,0.297,0.295,0.429,0.414,0.641,0.502,0.510,0.513,0.508,0.507,0.507,0.507,1515.4,13.1,978.3,380.4,2493.8,382.5,29.8859,17.7362,-,-,"[0.231, 0.359]","[0.228, 0.357]","[0.353, 0.494]","[0.331, 0.491]","[0.574, 0.703]","[0.434, 0.571]","[0.449, 0.569]","[0.431, 0.596]","[0.441, 0.574]","[0.440, 0.574]","[0.440, 0.575]","[0.440, 0.575]"
mental-iot,0-shot,None,CoT,GPT-5,0.700,0.492,0.492,0.493,0.620,0.512,0.528,0.545,0.555,0.551,0.565,0.561,1597.9,8.8,1937.3,239.7,3535.2,241.1,48.3555,15.0907,0.021,0.002,"[0.640, 0.760]","[0.427, 0.563]","[0.425, 0.573]","[0.430, 0.565]","[0.555, 0.680]","[0.444, 0.579]","[0.477, 0.584]","[0.460, 0.631]","[0.485, 0.620]","[0.480, 0.615]","[0.491, 0.631]","[0.492, 0.624]"
mental-iot,0-shot,None,CoT,Claude Sonnet 4.5,0.362,0.357,0.496,0.495,0.412,0.403,0.553,0.576,0.487,0.460,0.502,0.501,1742.6,9.6,983.5,111.7,2726.1,112.7,26.3149,2.4518,0.020,0.002,"[0.296, 0.427]","[0.292, 0.419]","[0.433, 0.556]","[0.411, 0.573]","[0.342, 0.482]","[0.335, 0.470]","[0.501, 0.603]","[0.501, 0.645]","[0.412, 0.558]","[0.386, 0.529]","[0.412, 0.582]","[0.437, 0.563]"
mental-iot,0-shot,None,CoT,Gemini 2.5 Pro,0.232,0.223,0.468,0.485,0.303,0.302,0.563,0.554,0.490,0.353,0.741,0.514,1666.4,118.6,3571.5,449.6,5237.8,525.1,43.3595,6.6405,0.038,0.005,"[0.177, 0.293]","[0.167, 0.277]","[0.353, 0.573]","[0.427, 0.532]","[0.237, 0.369]","[0.237, 0.369]","[0.504, 0.616]","[0.503, 0.600]","[0.419, 0.556]","[0.308, 0.403]","[0.240, 0.774]","[0.500, 0.533]"
mental-iot,0-shot,None,CoT,Llama-3.1 8b,0.384,0.361,0.438,0.411,0.452,0.435,0.514,0.520,0.524,0.513,0.525,0.523,1598.9,8.8,549.2,141.2,2148.1,141.7,6.3503,1.4872,-,-,"[0.298, 0.474]","[0.276, 0.449]","[0.357, 0.516]","[0.293, 0.523]","[0.357, 0.539]","[0.342, 0.517]","[0.433, 0.590]","[0.410, 0.627]","[0.437, 0.617]","[0.425, 0.607]","[0.438, 0.626]","[0.444, 0.613]"
